customer_id,recency,frequency,monetary,R,F,M,RFM_score
12475,53,1,723.38,3,1,3,7
12476,15,11,6816.42,4,5,5,14
12477,22,6,13219.74,4,4,5,13
12478,3,1,680.99,5,1,3,9
12479,11,1,527.2,5,1,3,9
12480,28,4,3281.63,4,4,5,13
12481,22,10,5596.32,4,5,5,14
12483,17,8,2484.98,4,5,5,14
12484,32,6,4541.72,4,4,5,13
12488,9,3,1298.66,5,3,4,12
12489,336,1,334.93,1,1,2,4
12490,5,10,5417.93,5,5,5,15
12491,38,1,460.40000000000003,3,1,2,6
12492,63,2,263.21000000000004,3,2,2,7
12493,165,2,433.74,2,2,2,6
12494,15,7,1246.1000000000001,4,5,4,13
12497,81,1,1043.1,2,1,4,7
12498,21,3,403.70000000000005,4,3,2,9
12500,23,11,4257.82,4,5,5,14
12501,336,1,2169.39,1,1,5,7
12502,95,5,3723.87,2,4,5,11
12504,18,2,482.04999999999995,4,2,2,8
12506,232,1,73.5,1,1,1,3
12507,134,3,1304.81,2,3,4,9
12508,26,2,398.27,4,2,2,8
12509,284,1,176.5,1,1,1,3
12510,142,2,982.5699999999999,2,2,4,8
12512,66,2,138.03,3,2,1,6
12513,112,1,612.29,2,1,3,6
12514,267,1,1017.68,1,1,4,6
12515,353,1,383.7,1,1,2,4
12516,77,2,1312.06,2,2,4,8
12517,28,5,2502.84,4,4,5,13
12518,0,5,2056.89,5,4,4,13
12519,63,1,340.84,3,1,2,6
12520,79,5,2634.26,2,4,5,11
12521,142,1,599.68,2,1,3,6
12522,39,2,192.72,3,2,1,6
12523,19,11,1789.77,4,5,4,13
12524,9,8,4485.72,5,5,5,15
12526,0,3,1316.66,5,3,4,12
12527,81,3,348.71000000000004,2,3,2,7
12528,9,6,1933.48,5,5,4,14
12530,59,4,1662.28,3,4,4,11
12531,14,1,125.22,4,1,1,6
12532,30,1,349.83000000000004,4,1,2,7
12534,130,1,1089.18,2,1,4,7
12535,91,2,716.35,2,2,3,7
12536,43,3,12601.830000000002,3,3,5,11
12538,29,1,363.95,4,1,2,7
12539,22,4,5568.35,4,4,5,13
12540,19,17,13400.24,4,5,5,14
12541,29,3,981.18,4,3,4,11
12544,36,1,372.7,3,1,2,6
12545,75,2,1000.39,2,2,4,8
12546,46,2,1161.5,3,2,4,9
12547,197,2,207.79999999999998,1,2,1,4
12548,166,1,95.19999999999999,2,1,1,4
12550,79,1,964.83,2,1,4,7
12551,357,1,168.0,1,1,1,3
12552,38,2,437.82,3,2,2,7
12553,8,10,3692.28,5,5,5,15
12556,50,2,603.71,3,2,3,8
12557,16,5,11990.960000000001,4,4,5,13
12558,7,1,269.96,5,1,2,8
12559,310,2,561.71,1,2,3,6
12560,5,3,2134.01,5,3,5,13
12561,302,1,238.85,1,1,1,3
12562,8,7,3781.7400000000002,5,5,5,15
12564,261,1,456.9,1,1,2,4
12565,288,1,145.92,1,1,1,3
12566,86,1,351.65,2,1,2,5
12567,22,10,9401.28,4,5,5,14
12569,2,32,4124.69,5,5,5,15
12571,39,2,519.61,3,2,3,8
12572,8,2,1020.42,5,2,4,11
12573,227,1,160.54000000000002,1,1,1,3
12574,315,1,218.45,1,1,1,3
12576,35,5,1315.83,3,4,4,11
12577,35,3,657.8,3,3,3,9
12578,21,2,2794.51,4,2,5,11
12579,78,1,440.42,2,1,2,5
12580,246,1,415.7,1,1,2,4
12581,39,1,197.71,3,1,1,5
12582,238,2,511.36,1,2,3,6
12583,2,15,7281.38,5,5,5,15
12584,3,9,2338.15,5,5,5,15
12585,234,2,2040.1,1,2,4,7
12586,17,1,196.94000000000003,4,1,1,6
12587,7,1,144.0,5,1,1,7
12588,39,1,214.89999999999998,3,1,1,5
12589,28,2,646.68,4,2,3,9
12590,211,2,9864.26,1,2,5,8
12591,317,1,452.84999999999997,1,1,2,4
12592,92,2,437.6,2,2,2,6
12593,108,3,418.09999999999997,2,3,2,7
12594,37,10,3338.2200000000003,3,5,5,13
12596,51,2,618.27,3,2,3,8
12597,19,4,3811.22,4,4,5,13
12598,9,8,3023.08,5,5,5,15
12599,29,7,1032.58,4,5,4,13
12600,28,10,2599.04,4,5,5,14
12601,189,5,577.0600000000001,1,4,3,8
12602,58,1,153.12,3,1,1,5
12603,21,1,739.1999999999999,4,1,3,8
12604,79,2,254.18,2,2,2,6
12607,60,1,1579.51,3,1,4,8
12609,78,3,1126.85,2,3,4,9
12610,22,5,2099.54,4,4,5,13
12611,52,1,1193.32,3,1,4,8
12612,74,1,704.0400000000001,2,1,3,6
12613,57,5,3344.38,3,4,5,12
12614,277,1,315.6,1,1,2,4
12615,2,4,2291.19,5,4,5,14
12616,95,2,713.3,2,2,3,7
12617,29,1,355.53,4,1,2,7
12618,21,1,177.31,4,1,1,6
12619,16,9,3641.24,4,5,5,14
12620,14,3,1339.41,4,3,4,11
12621,1,20,13689.67,5,5,5,15
12622,232,1,180.1,1,1,1,3
12623,276,1,305.1,1,1,2,4
12624,106,2,641.13,2,2,3,7
12625,211,2,2683.82,1,2,5,8
12626,23,9,6620.48,4,5,5,14
12627,10,7,4478.53,5,5,5,15
12628,4,3,786.46,5,3,3,11
12630,9,2,1270.88,5,2,4,11
12631,57,1,640.5,3,1,3,7
12633,58,4,2163.98,3,4,5,12
12635,89,2,1689.18,2,2,4,8
12637,67,8,6021.9,3,5,5,13
12638,33,1,671.69,3,1,3,7
12639,238,1,486.1,1,1,2,4
12640,23,3,1174.58,4,3,4,11
12641,115,1,185.9,2,1,1,4
12642,25,3,1013.26,4,3,4,11
12643,128,6,3344.64,2,5,5,12
12644,129,1,477.91,2,1,2,5
12645,33,4,1775.18,3,4,4,11
12646,4,2,1346.97,5,2,4,11
12647,22,12,3722.82,4,5,5,14
12648,154,1,318.05,2,1,2,5
12649,107,3,623.51,2,3,3,8
12650,3,1,314.44,5,1,2,8
12651,334,1,114.0,1,1,1,3
12652,331,1,919.98,1,1,3,5
12653,148,2,2209.85,2,2,5,9
12654,10,5,601.98,5,4,3,12
12656,17,5,4051.17,4,4,5,13
12657,11,4,1643.18,5,4,4,13
12658,18,1,686.05,4,1,3,8
12659,29,1,91.68,4,1,1,6
12660,11,1,245.1,5,1,1,7
12662,0,11,3849.78,5,5,5,15
12664,8,9,4881.88,5,5,5,15
12665,324,1,63.0,1,1,1,3
12667,58,1,620.13,3,1,3,7
12668,11,4,3807.15,5,4,5,14
12669,150,3,2744.0299999999997,2,3,5,10
12670,10,5,2996.05,5,4,5,14
12672,329,1,225.89999999999998,1,1,1,3
12673,5,2,610.52,5,2,3,10
12674,38,4,1970.6,3,4,4,11
12676,24,6,1331.39,4,5,4,13
12678,42,12,17628.46,3,5,5,13
12679,58,4,1113.02,3,4,4,11
12680,0,4,862.81,5,4,3,12
12681,14,22,13787.54,4,5,5,14
12682,3,31,12288.22,5,5,5,15
12683,4,15,8476.57,5,5,5,15
12684,7,7,2283.63,5,5,5,15
12685,28,6,2863.08,4,5,5,14
12686,371,1,89.14,1,1,1,3
12688,113,1,4873.8099999999995,2,1,5,8
12689,25,2,1247.61,4,2,4,10
12690,205,1,389.01,1,1,2,4
12691,28,6,1035.8,4,5,4,13
12693,127,4,855.91,2,4,3,9
12694,70,2,869.67,3,2,3,8
12695,7,4,582.1,5,4,3,12
12697,28,3,957.59,4,3,4,11
12700,7,4,4939.99,5,4,5,14
12701,79,2,797.71,2,2,3,7
12702,19,1,219.0,4,1,1,6
12703,71,1,283.55,3,1,2,6
12704,7,8,2340.84,5,5,5,15
12705,15,9,6868.29,4,5,5,14
12707,291,1,603.42,1,1,3,5
12708,29,10,2712.91,4,5,5,14
12709,15,15,9736.52,4,5,5,14
12710,96,3,1149.02,2,3,4,9
12712,28,13,4396.13,4,5,5,14
12713,0,1,848.55,5,1,3,9
12714,9,5,4708.86,5,4,5,14
12715,106,1,353.86,2,1,2,5
12716,3,2,1053.49,5,2,4,11
12717,151,2,1030.98,2,2,4,8
12718,71,1,238.25,3,1,1,5
12719,5,2,644.95,5,2,3,10
12720,2,25,5781.73,5,5,5,15
12721,31,6,2656.13,4,5,5,14
12722,85,4,997.63,2,4,4,10
12723,3,5,725.07,5,4,3,12
12724,5,4,1031.41,5,4,4,13
12725,371,1,427.8,1,1,2,4
12726,28,7,2609.1,4,5,5,14
12727,10,7,3980.7,5,5,5,15
12728,71,4,836.33,3,4,3,10
12729,113,1,453.01,2,1,2,5
12731,23,12,18895.91,4,5,5,14
12732,179,1,236.26000000000002,2,1,1,4
12733,234,1,383.95,1,1,2,4
12734,352,1,110.39999999999999,1,1,1,3
12735,315,2,779.5699999999999,1,2,3,6
12736,332,1,234.0,1,1,1,3
12738,372,1,155.35,1,1,1,3
12739,78,2,1013.04,2,2,4,8
12740,63,1,427.6,3,1,2,6
12743,134,2,546.43,2,2,3,7
12744,51,7,21279.29,3,5,5,13
12747,2,11,4196.01,5,5,5,15
12748,0,210,33719.73,5,5,5,15
12749,3,5,4090.88,5,4,5,14
12750,128,1,275.88,2,1,2,5
12752,81,1,4366.78,2,1,5,8
12753,22,6,21429.39,4,5,5,14
12754,235,3,3010.74,1,3,5,9
12755,280,2,3811.95,1,2,5,8
12756,86,1,112.07999999999998,2,1,1,4
12757,15,13,7857.1,4,5,5,14
12758,116,2,2791.59,2,2,5,9
12759,52,3,1531.44,3,3,4,10
12762,7,2,1898.52,5,2,4,11
12763,138,2,494.08,2,2,3,7
12764,316,1,1693.88,1,1,4,6
12766,3,7,6989.63,5,5,5,15
12769,238,1,1143.6,1,1,4,6
12770,210,1,1351.45,1,1,4,6
12772,59,1,892.47,3,1,3,7
12775,17,5,1386.04,4,4,4,12
12778,19,6,822.23,4,5,3,12
12779,37,8,3981.36,3,5,5,13
12781,63,2,826.74,3,2,3,8
12782,4,5,2330.92,5,4,5,14
12783,2,6,2225.91,5,5,5,15
12784,9,2,574.42,5,2,3,10
12785,364,1,311.95,1,1,2,4
12787,9,3,463.66,5,3,2,10
12789,65,1,91.85,3,1,1,5
12790,192,1,324.92,1,1,2,4
12791,373,1,192.60000000000002,1,1,1,3
12792,256,1,400.53999999999996,1,1,2,4
12793,334,2,545.48,1,2,3,6
12794,53,2,860.41,3,2,3,8
12795,18,1,430.48,4,1,2,7
12797,365,1,254.03,1,1,2,4
12798,10,3,6977.04,5,3,5,13
12802,186,1,427.58,1,1,2,4
12808,36,3,483.65000000000003,3,3,2,8
12809,177,1,489.31,2,1,2,5
12811,260,3,514.85,1,3,3,7
12812,44,1,229.64000000000001,3,1,1,5
12814,101,1,125.92,2,1,1,4
12815,147,2,1063.46,2,2,4,8
12816,95,2,572.2,2,2,3,7
12817,281,1,166.04,1,1,1,3
12818,261,1,1542.08,1,1,4,6
12820,3,4,942.34,5,4,4,13
12821,214,1,92.72,1,1,1,3
12822,70,2,948.88,3,2,4,9
12823,74,5,1759.5,2,4,4,10
12824,59,1,397.12,3,1,2,6
12826,2,7,1474.72,5,5,4,14
12827,5,3,430.15000000000003,5,3,2,10
12828,2,6,1018.71,5,5,4,14
12829,336,2,293.0,1,2,2,5
12830,37,6,6814.64,3,5,5,13
12831,262,1,215.05,1,1,1,3
12832,32,2,383.03,4,2,2,8
12833,145,1,417.38,2,1,2,5
12834,282,1,312.38,1,1,2,4
12836,59,4,2612.86,3,4,5,12
12837,173,1,134.1,2,1,1,4
12838,33,2,683.13,3,2,3,8
12839,2,14,5591.42,5,5,5,15
12840,143,4,2726.77,2,4,5,11
12841,4,25,4022.35,5,5,5,15
12842,70,2,1118.99,3,2,4,9
12843,65,8,1702.26,3,5,4,12
12844,29,2,325.96000000000004,4,2,2,8
12845,267,4,354.09,1,4,2,7
12847,22,1,871.54,4,1,3,8
12849,31,2,1050.8899999999999,4,2,4,10
12851,96,1,135.18,2,1,1,4
12852,294,1,311.55,1,1,2,4
12853,134,6,1957.1000000000001,2,5,4,11
12854,78,3,1324.5,2,3,4,9
12855,372,1,38.1,1,1,1,3
12856,7,6,2179.93,5,5,5,15
12857,210,2,1106.4,1,2,4,7
12863,52,1,521.2,3,1,3,7
12864,138,1,147.12,2,1,1,4
12865,26,2,1568.23,4,2,4,10
12866,283,1,559.12,1,1,3,5
12867,26,7,4036.82,4,5,5,14
12868,185,6,1607.0600000000002,1,5,4,10
12871,84,2,380.64,2,2,2,6
12872,326,2,599.97,1,2,3,6
12873,282,1,374.0,1,1,2,4
12875,143,2,343.2300000000001,2,2,2,6
12876,57,2,2218.02,3,2,5,10
12877,3,12,1535.77,5,5,4,14
12878,236,2,854.99,1,2,3,6
12879,44,3,573.22,3,3,3,9
12881,275,1,298.0,1,1,2,4
12882,9,2,1463.04,5,2,4,11
12883,24,4,703.47,4,4,3,11
12884,88,1,309.05,2,1,2,5
12885,63,3,1175.22,3,3,4,10
12886,67,2,1378.4,3,2,4,9
12888,214,2,354.12,1,2,2,5
12890,24,1,380.46999999999997,4,1,2,7
12891,185,3,331.0,1,3,2,6
12893,30,1,188.14,4,1,1,6
12895,42,2,372.8,3,2,2,7
12897,204,2,216.5,1,2,1,4
12901,8,28,17654.54,5,5,5,15
12902,264,1,138.68,1,1,1,3
12904,18,2,509.58,4,2,3,9
12906,11,5,2919.81,5,4,5,14
12908,176,2,750.0,2,2,3,7
12909,39,5,2178.67,3,4,5,12
12910,23,8,3075.04,4,5,5,14
12912,2,5,1662.3,5,4,4,13
12913,4,5,2483.63,5,4,5,14
12915,148,2,363.65,2,2,2,6
12916,138,4,3006.15,2,4,5,11
12917,128,1,594.0,2,1,3,6
12919,8,6,1335.19,5,5,4,14
12920,17,1,164.23,4,1,1,6
12921,9,37,16587.09,5,5,5,15
12922,161,1,405.38,2,1,2,5
12923,64,1,176.97,3,1,1,5
12924,88,4,933.7,2,4,3,9
12925,4,2,694.05,5,2,3,10
12928,35,5,2062.7000000000003,3,4,5,12
12929,311,1,117.85,1,1,1,3
12930,78,2,415.8,2,2,2,6
12931,21,15,42055.96,4,5,5,14
12933,24,3,607.53,4,3,3,10
12935,2,7,2160.7,5,5,5,15
12936,17,4,1063.9,4,4,4,12
12937,15,4,1504.27,4,4,4,12
12938,25,1,114.14,4,1,1,6
12939,64,8,11581.8,3,5,5,13
12940,54,2,913.54,3,2,3,8
12942,131,3,683.9,2,3,3,8
12944,35,2,604.51,3,2,3,8
12945,288,1,462.95,1,1,2,4
12947,143,6,1603.99,2,5,4,11
12948,16,7,2064.95,4,5,5,14
12949,30,8,4167.22,4,5,5,14
12950,2,3,1843.0,5,3,4,12
12951,8,6,1064.07,5,5,4,14
12952,5,4,1387.79,5,4,4,13
12953,9,1,329.85,5,1,2,8
12955,1,11,4757.16,5,5,5,15
12956,306,1,108.07,1,1,1,3
12957,9,8,4017.54,5,5,5,15
12962,7,2,266.39,5,2,2,9
12963,8,8,1856.63,5,5,4,14
12965,89,1,771.91,2,1,3,6
12966,9,1,160.18,5,1,1,7
12967,358,2,1660.9,1,2,4,7
12968,112,1,135.95,2,1,1,4
12970,7,4,452.24,5,4,2,11
12971,3,86,11189.91,5,5,5,15
12974,197,1,144.8,1,1,1,3
12976,211,1,738.6,1,1,3,5
12977,156,1,39.239999999999995,2,1,1,4
12980,157,9,7374.900000000001,2,5,5,12
12981,29,2,372.21999999999997,4,2,2,8
12982,242,1,390.54,1,1,2,4
12984,18,1,97.5,4,1,1,6
12985,0,2,1239.38,5,2,4,11
12987,73,2,558.7,2,2,3,7
12988,292,1,535.32,1,1,3,5
12989,3,15,6924.110000000001,5,5,5,15
12990,31,3,409.5,4,3,2,9
12991,23,2,503.76,4,2,3,9
12993,23,4,414.76,4,4,2,10
12994,4,3,974.4200000000001,5,3,4,12
12995,85,1,211.32,2,1,1,4
12997,22,4,1226.89,4,4,4,12
12999,196,3,455.88,1,3,2,6
13000,106,3,534.85,2,3,3,8
13001,4,13,9818.82,5,5,5,15
13002,318,1,120.94999999999999,1,1,1,3
13003,105,3,149.05,2,3,1,6
13004,11,18,5655.91,5,5,5,15
13005,173,2,513.7,2,2,3,7
13006,56,1,81.57,3,1,1,5
13008,323,1,229.46999999999997,1,1,1,3
13011,372,1,50.550000000000004,1,1,1,3
13012,9,8,1661.8400000000001,5,5,4,14
13013,1,13,4810.9400000000005,5,5,5,15
13014,10,10,3466.2799999999997,5,5,5,15
13015,53,5,3346.28,3,4,5,12
13016,73,3,789.89,2,3,3,8
13017,7,1,204.0,5,1,1,7
13018,16,28,7277.7,4,5,5,14
13021,4,9,2616.38,5,5,5,15
13023,64,2,689.9,3,2,3,8
13026,1,5,975.36,5,4,4,13
13027,113,6,6912.0,2,5,5,12
13028,22,2,661.3199999999999,4,2,3,9
13029,30,3,1247.5,4,3,4,11
13030,11,2,799.48,5,2,3,10
13032,52,2,1010.18,3,2,4,9
13033,357,1,190.55,1,1,1,3
13034,54,2,642.77,3,2,3,8
13035,73,2,921.88,2,2,3,7
13037,138,3,881.07,2,3,3,8
13038,80,3,908.46,2,3,3,8
13040,8,2,676.99,5,2,3,10
13043,273,1,516.42,1,1,3,5
13044,291,1,560.47,1,1,3,5
13045,99,1,305.28000000000003,2,1,2,5
13046,30,2,629.31,4,2,3,9
13047,31,10,3237.54,4,5,5,14
13048,14,4,1835.91,4,4,4,12
13049,64,2,656.6800000000001,3,2,3,8
13050,14,17,5836.86,4,5,5,14
13052,212,1,348.15000000000003,1,1,2,4
13055,78,3,1214.41,2,3,4,9
13058,24,3,271.40000000000003,4,3,2,9
13059,249,1,183.4,1,1,1,3
13060,253,1,307.53,1,1,2,4
13061,72,1,248.61,2,1,1,4
13062,191,1,346.98,1,1,2,4
13064,12,4,1119.49,5,4,4,13
13065,373,1,205.86,1,1,1,3
13066,24,2,470.8,4,2,2,8
13067,82,1,115.46000000000001,2,1,1,4
13068,10,2,344.0,5,2,2,9
13069,0,24,4436.12,5,5,5,15
13070,192,1,228.8,1,1,1,3
13072,266,1,177.15,1,1,1,3
13075,129,1,919.61,2,1,3,6
13077,1,4,729.27,5,4,3,12
13078,3,26,12627.94,5,5,5,15
13079,4,5,220.10000000000002,5,4,1,10
13080,179,1,58.08,2,1,1,4
13081,11,11,28337.38,5,5,5,15
13082,126,9,3613.63,2,5,5,12
13083,4,2,303.75,5,2,2,9
13085,157,2,416.08000000000004,2,2,2,6
13089,2,97,58825.83,5,5,5,15
13090,8,14,8910.82,5,5,5,15
13091,28,1,345.82,4,1,2,7
13092,70,5,477.83,3,4,2,9
13093,275,8,7832.47,1,5,5,11
13094,21,12,1927.3200000000002,4,5,4,13
13095,70,1,74.39999999999999,3,1,1,5
13097,32,10,6010.42,4,5,5,14
13098,1,28,28882.44,5,5,5,15
13099,99,1,207.35999999999999,2,1,1,4
13101,234,1,101.19,1,1,1,3
13102,1,24,6424.09,5,5,5,15
13103,39,1,243.94,3,1,1,5
13104,3,6,1098.48,5,5,4,14
13106,133,1,76.5,2,1,1,4
13107,44,4,1531.6200000000001,3,4,4,11
13108,372,1,350.06,1,1,2,4
13109,59,2,786.54,3,2,3,8
13110,31,7,1488.67,4,5,4,13
13113,0,24,12245.960000000001,5,5,5,15
13115,11,4,2294.78,5,4,5,14
13116,138,1,501.14,2,1,3,6
13117,21,8,984.91,4,5,4,13
13118,19,5,1197.81,4,4,4,12
13120,238,1,30.599999999999998,1,1,1,3
13121,269,1,283.73,1,1,2,4
13122,94,2,922.39,2,2,3,7
13124,89,3,3866.33,2,3,5,10
13126,4,8,2099.64,5,5,5,15
13127,77,1,259.17,2,1,2,5
13130,94,1,64.0,2,1,1,4
13131,23,3,1073.3,4,3,4,11
13132,261,1,77.3,1,1,1,3
13133,273,2,109.8,1,2,1,4
13134,85,4,1793.58,2,4,4,10
13135,196,1,3096.0,1,1,5,7
13136,56,5,2607.61,3,4,5,12
13137,10,8,3650.41,5,5,5,15
13138,22,6,962.39,4,5,4,13
13139,16,7,5064.94,4,5,5,14
13140,108,3,423.72,2,3,2,7
13141,84,5,2388.75,2,4,5,11
13142,19,1,307.09,4,1,2,7
13144,332,1,110.95,1,1,1,3
13145,39,4,618.52,3,4,3,10
13146,26,1,228.91,4,1,1,6
13147,10,4,712.8000000000001,5,4,3,12
13148,29,12,3707.12,4,5,5,14
13149,14,4,1676.06,4,4,4,12
13151,295,1,1257.8700000000001,1,1,4,6
13153,5,1,486.22,5,1,2,8
13155,33,4,971.76,3,4,4,11
13157,49,4,1741.22,3,4,4,11
13158,94,4,1201.06,2,4,4,10
13159,8,4,1437.85,5,4,4,13
13160,22,1,91.8,4,1,1,6
13161,313,1,112.75,1,1,1,3
13162,122,4,1688.29,2,4,4,10
13165,46,2,1021.48,3,2,4,9
13166,283,1,417.2,1,1,2,4
13167,18,4,791.33,4,4,3,11
13168,36,4,1319.19,3,4,4,11
13169,63,2,712.88,3,2,3,8
13170,26,1,116.00999999999999,4,1,1,6
13171,21,3,468.41,4,3,2,9
13173,4,2,353.65,5,2,2,9
13174,16,3,2817.03,4,3,5,12
13176,46,1,492.84,3,1,3,7
13177,64,1,282.45,3,1,2,6
13178,26,11,5725.47,4,5,5,14
13182,45,1,121.18,3,1,1,5
13183,7,9,3957.78,5,5,5,15
13184,14,10,1701.29,4,5,4,13
13185,267,1,71.4,1,1,1,3
13186,39,3,1575.89,3,3,4,10
13187,337,1,236.02,1,1,1,3
13188,11,1,114.60000000000001,5,1,1,7
13189,18,2,260.68,4,2,2,8
13192,95,2,911.94,2,2,3,7
13193,61,1,117.88,3,1,1,5
13194,135,1,60.7,2,1,1,4
13196,11,4,1797.78,5,4,4,13
13198,10,6,3401.2400000000002,5,5,5,15
13199,3,38,9817.12,5,5,5,15
13200,19,4,870.09,4,4,3,11
13203,9,4,869.46,5,4,3,12
13207,15,2,250.26000000000002,4,2,2,8
13208,58,6,1223.9,3,5,4,12
13209,30,8,5891.61,4,5,5,14
13210,93,1,353.48,2,1,2,5
13211,10,3,1197.42,5,3,4,12
13212,19,3,788.08,4,3,3,10
13213,56,5,1520.58,3,4,4,11
13216,267,1,333.74,1,1,2,4
13217,122,3,533.98,2,3,3,8
13218,127,1,62.63999999999999,2,1,1,4
13220,78,4,819.2900000000001,2,4,3,9
13221,240,2,847.41,1,2,3,6
13223,200,2,163.20000000000002,1,2,1,4
13224,60,2,2155.95,3,2,5,10
13225,3,7,6463.84,5,5,5,15
13226,273,1,108.21000000000001,1,1,1,3
13227,201,1,257.7,1,1,2,4
13228,81,1,358.0,2,1,2,5
13229,225,1,160.95,1,1,1,3
13230,4,14,2806.97,5,5,5,15
13232,12,7,1357.6,5,5,4,14
13233,74,2,605.12,2,2,3,7
13235,212,1,1031.07,1,1,4,6
13236,24,2,744.85,4,2,3,9
13238,17,4,700.73,4,4,3,11
13239,261,1,329.56,1,1,2,4
13240,96,4,663.65,2,4,3,9
13242,112,3,270.40000000000003,2,3,2,7
13243,203,1,600.07,1,1,3,5
13244,92,1,121.74000000000001,2,1,1,4
13245,50,1,430.5,3,1,2,6
13246,18,6,1987.3,4,5,4,13
13247,17,4,501.12,4,4,3,11
13248,124,2,465.68,2,2,2,6
13249,92,3,711.41,2,3,3,8
13253,156,2,1030.4,2,2,4,8
13255,9,2,399.51,5,2,2,9
13256,14,1,0.0,4,1,1,6
13258,11,3,698.58,5,3,3,11
13259,61,1,292.32,3,1,2,6
13260,61,1,557.62,3,1,3,7
13261,268,2,944.1,1,2,4,7
13262,263,1,200.29,1,1,1,3
13263,1,35,7454.07,5,5,5,15
13265,53,5,2107.66,3,4,5,12
13266,11,12,3834.2599999999998,5,5,5,15
13267,2,19,4521.49,5,5,5,15
13268,17,11,3214.69,4,5,5,14
13269,1,15,5346.2300000000005,5,5,5,15
13270,366,1,590.0,1,1,3,5
